XY,assortativity
cc,0.011418903807825665
ch,-0.040144020728124105
ca,0.0066883300750717025
hc,-0.014614865781628333
hh,0.046816915346029886
ha,-0.007525739503783901
ac,-0.0021721851598126324
ah,0.009520743069211034
aa,-0.002129542801566793
