h_values,a_values,c_values,th_values,ta_values,avg_weight,std_of_avg_comm_state,range_of_comm_state,number_of_comm,modularity
0.01,0.01,0.01,0.01,0.01,0.2777814056826174,1.7093471679104022,4.12761900113221,3,0.17983766209816493
0.01,0.01,0.01,0.01,0.03,0.26098899636715595,1.622773248696518,3.910595166629223,3,0.1901256809196555
0.01,0.01,0.01,0.01,0.1,0.21767269887657478,1.590480692786626,3.637782865742591,3,0.20390595258524613
0.01,0.01,0.01,0.01,0.3,0.1344442034187823,1.9116825003535243,4.673829927541835,3,0.223180208689163
0.01,0.01,0.01,0.03,0.01,0.27958039836067483,1.4393985374046763,4.008773021011168,4,0.18946087553171592
0.01,0.01,0.01,0.03,0.03,0.27202132635519755,1.8075251871171916,3.615050374234383,2,0.21263999851657983
0.01,0.01,0.01,0.03,0.1,0.23612737557444363,1.5466028101760074,3.7470610736110626,3,0.2056037674411452
0.01,0.01,0.01,0.03,0.3,0.149620700073689,1.977482805835157,4.843675400863357,3,0.20128510370963182
0.01,0.01,0.01,0.1,0.01,0.3197774059090201,1.5476170704485837,3.7311179305484123,3,0.17784606573914657
0.01,0.01,0.01,0.1,0.03,0.31388227125843227,2.134342197470167,4.268684394940334,2,0.20321871541502545
0.01,0.01,0.01,0.1,0.1,0.2797799317957601,2.1721196257784765,4.344239251556953,2,0.22286820069391708
0.01,0.01,0.01,0.1,0.3,0.17767698963292322,1.9253808773767795,4.692324826746212,3,0.2398522702004081
0.01,0.01,0.01,0.3,0.01,0.44959773650933177,1.5244665615541613,3.7140851585392336,3,0.15542505129334627
0.01,0.01,0.01,0.3,0.03,0.4426516710516618,1.3681774774449522,3.297356678279196,3,0.1628156918629375
0.01,0.01,0.01,0.3,0.1,0.39695438192416593,1.6174772738117884,3.906033718484976,3,0.1719673638580818
0.01,0.01,0.01,0.3,0.3,0.26784276284615677,1.8885215776100042,3.7770431552200083,2,0.2188483206201473
0.01,0.03,0.01,0.01,0.01,2.9380341571125936,1.5719583643129167,3.1439167286258334,2,0.04437806300054495
0.01,0.03,0.01,0.01,0.03,2.628615761769382,1.2507805675768,2.5015611351536,2,0.0410667802351192
0.01,0.03,0.01,0.01,0.1,2.501889882276382,1.368063096419867,2.736126192839734,2,0.0421774826586285
0.01,0.03,0.01,0.01,0.3,2.2493065197145885,1.496233112016653,2.992466224033306,2,0.04915581707677627
0.01,0.03,0.01,0.03,0.01,2.832945231836612,1.4961468564441982,2.9922937128883964,2,0.03493372912400505
0.01,0.03,0.01,0.03,0.03,2.665969973961707,0.7932741007777249,1.5865482015554497,2,0.037198815216949815
0.01,0.03,0.01,0.03,0.1,2.7671062155669777,1.5957550220742323,3.1915100441484645,2,0.04518995711457802
0.01,0.03,0.01,0.03,0.3,2.027656273007267,1.4859017173137898,2.9718034346275797,2,0.04722449879931065
0.01,0.03,0.01,0.1,0.01,2.9735302650203606,1.4791111759868543,2.9582223519737085,2,0.04162148377683564
0.01,0.03,0.01,0.1,0.03,2.6995974240432123,1.4585577863411527,2.9171155726823055,2,0.039875000875507605
0.01,0.03,0.01,0.1,0.1,2.6709744094241397,1.2826420553820512,2.5652841107641025,2,0.043043230747489114
0.01,0.03,0.01,0.1,0.3,2.261596514794506,1.82242445295244,3.64484890590488,2,0.05020050450140767
0.01,0.03,0.01,0.3,0.01,3.003660798916761,1.252540433452589,2.505080866905178,2,0.03833622222257954
0.01,0.03,0.01,0.3,0.03,3.092303392152232,1.557845774582591,3.115691549165182,2,0.03996810332438086
0.01,0.03,0.01,0.3,0.1,2.7514400819936253,1.2276991781721094,2.4553983563442188,2,0.036350911077354775
0.01,0.03,0.01,0.3,0.3,2.2769173443110566,1.4829648765912236,2.965929753182447,2,0.04062938172632774
0.01,0.1,0.01,0.01,0.01,12.456826735822018,1.3216929903045345,2.643385980609069,2,0.009239524170715024
0.01,0.1,0.01,0.01,0.03,11.555981270362585,1.291202589416049,2.582405178832098,2,0.008006780002342201
0.01,0.1,0.01,0.01,0.1,11.348497806745456,1.2113129980165858,2.4226259960331715,2,0.009083044276282093
0.01,0.1,0.01,0.01,0.3,10.282125453192156,1.6594958489628375,3.318991697925675,2,0.011610022638006368
0.01,0.1,0.01,0.03,0.01,13.354791164251948,1.423390308493481,2.846780616986962,2,0.009831965436956636
0.01,0.1,0.01,0.03,0.03,11.764283444256803,1.4238242324960297,2.8476484649920595,2,0.007079575476219485
0.01,0.1,0.01,0.03,0.1,12.537843608129538,1.6191349832152757,3.2382699664305514,2,0.010218305330817717
0.01,0.1,0.01,0.03,0.3,10.42772137089766,1.3185553247648603,2.6371106495297205,2,0.009883212855227697
0.01,0.1,0.01,0.1,0.01,12.679518393593918,1.3232415468344534,2.6464830936689068,2,0.007054668348569881
0.01,0.1,0.01,0.1,0.03,12.104498157770054,1.3137152112869743,2.6274304225739487,2,0.007978752943094913
0.01,0.1,0.01,0.1,0.1,12.97156050484887,1.392014464881173,2.784028929762346,2,0.009793333674355087
0.01,0.1,0.01,0.1,0.3,10.156651310844316,1.4464175235442491,2.8928350470884983,2,0.0097323224971895
0.01,0.1,0.01,0.3,0.01,13.587401275132148,1.496776112470136,2.993552224940272,2,0.008045121966714308
