method,aa,hh,cc,ah,ha,ac,ca,ch,hc
normal distribution,0.001312,0.023512,0.002577,-0.001952,-0.020148,0.000653,0.009666,-0.011049,-0.008546
uniform distribution,-0.001832,0.023054,0.008675,0.001879,-0.018224,-0.001131,0.010538,-0.013162,-0.017469
random choice,-0.001137,0.011540,0.011333,0.002765,-0.003703,-0.002976,0.003069,-0.008993,-0.016146
    
  
