XY,assortativity
cc,0.008826338103881596
ch,-0.0303499873521612
ca,0.02271640866898003
hc,-0.02013251487271348
hh,0.05659937342378515
ha,-0.04198219426550014
ac,-0.0015970821979951495
ah,0.005209025184545289
aa,-0.004797941243789604
