XY,assortativity
cc,0.0028045227546996594
ch,-0.018934416163614753
ca,0.014262079505931613
hc,-0.009091447232143257
hh,0.04457095871621117
ha,-0.03272416586707071
ac,0.0001074296358696912
ah,-0.0008628381674004465
aa,-0.0001469546945651058
