h_values,n_values,th_values,ta_values,c_values,avg_weight,std_dev,average_os,range_community,n_communities,modularity
0.01,0.01,0.01,0.01,0.01,0.4673650466443834,0.04093242938124514,-0.7120832321350435,1.4405892118978767,3,0.03711242827719476
0.01,0.01,0.01,0.03,0.01,0.4682441255210565,0.017886533764863127,1.264633333721235,3.582226472374892,4,0.03612001892103187
0.01,0.01,0.01,0.1,0.01,0.46017236414977075,0.10231051402357688,-0.46139116172769185,5.516223384785745,3,0.03694379724924401
0.01,0.01,0.01,0.3,0.01,0.4367091199213706,0.010530475717554461,0.07323076110339258,1.1893791420521884,4,0.040188268187258167
0.01,0.01,0.03,0.01,0.01,0.4689562911622831,0.06809033689486724,-0.2497651599461364,1.7353224937268603,3,0.04884068034847655
0.01,0.01,0.03,0.03,0.01,0.46895461937731703,0.035944584205918555,0.06440355308610055,1.293911461390143,3,0.04534000733183141
