method,aa,hh,cc,ah,ha,ac,ca,ch,hc
1,-0.001001,0.000112,-0.001207,0.000267,-0.000101,-0.000069,0.000402,-0.002311,-0.000596
2,0.000831,-0.002774,0.002930,0.000172,0.001262,0.000941,0.000310,-0.000572,-0.000281
3,0.001307,0.000403,-0.002093,0.000432,-0.000378,-0.001832,-0.000477,-0.000213,-0.001594
    
  
  
   
   
   
