h,a,c,theta_h,theta_a,average edge weight,std. of average comm. states,range of average comm. states,number of communities,modularity
0.01,0.3,0.01,0.3,0.03,44.279644110659724,1.3751017021309215,2.750203404261843,2,0.001107134612902988
0.01,0.3,0.01,0.3,0.1,41.992271298796176,1.6888621758001472,3.3777243516002944,2,0.0013998427819303105
0.01,0.3,0.01,0.3,0.3,29.652593593818995,1.2370121008361479,2.4740242016722958,2,0.0010911258508723432
0.03,0.01,0.01,0.01,0.01,4.80225863602805e-07,3.539550761178537,14.136507357782675,64,0.7886998264850531
0.03,0.01,0.01,0.01,0.03,1.538489198892643e-07,3.4524933618809954,14.430001541721744,76,0.801687874397431
0.03,0.01,0.01,0.01,0.1,1.7819380839380288e-07,3.227655087128701,15.833774462667193,78,0.7201508131702047
0.03,0.01,0.01,0.01,0.3,1.7713125903397492e-08,3.3458815223344907,17.85058457303409,88,0.8640349769268776
0.03,0.01,0.01,0.03,0.01,1.2834603106593142e-05,3.6658049279010396,13.46748088300287,38,0.2822536990382834
0.03,0.01,0.01,0.03,0.03,1.6872116602850012e-06,3.3808104959825984,13.117589469839597,44,0.787896870544921
0.03,0.01,0.01,0.03,0.1,3.6738720973870034e-07,3.8775371940224033,20.73146583895393,62,0.9166217704057543
0.03,0.01,0.01,0.03,0.3,1.2381077270125714e-07,3.445391031593035,14.999474190688742,72,0.9117847163834926
0.03,0.01,0.01,0.1,0.01,3.841725641286388e-05,4.855777112885466,15.769532494722174,20,0.8138187656159415
0.03,0.01,0.01,0.1,0.03,4.786311719052997e-05,4.36436857705105,15.640991442212218,20,0.6762356608283571
0.03,0.01,0.01,0.1,0.1,1.0242635948393128e-05,4.051653745513636,14.607549503487638,28,0.8496547634997823
0.03,0.01,0.01,0.1,0.3,1.5763087256108095e-06,3.3186834909722602,12.471679582446125,35,0.8894654470901423
0.03,0.01,0.01,0.3,0.01,0.007601018617249951,3.9858241802815093,13.10603202519705,7,0.5503193770947363
0.03,0.01,0.01,0.3,0.03,0.005784560525791467,5.4886914482234115,19.53080645189477,10,0.5990187374002918
0.03,0.01,0.01,0.3,0.1,0.0028300448199824594,4.452584062308568,14.545810509781056,8,0.6988171892435189
0.03,0.01,0.01,0.3,0.3,0.0016841642001648306,5.8511287319678695,19.71690378055719,8,0.6779579062825722
0.03,0.03,0.01,0.01,0.01,0.2363555546159863,2.3557112627564756,4.711422525512951,2,0.2408806560370497
0.03,0.03,0.01,0.01,0.03,0.2105768949502845,2.08882034443129,5.111013229246357,3,0.21049622027075537
0.03,0.03,0.01,0.01,0.1,0.12668436969010902,1.9040754939005307,4.655157801631637,3,0.21932067498526556
0.03,0.03,0.01,0.01,0.3,0.00995389011305557,1.8481809966396798,5.445983870773828,5,0.4539962144778863
0.03,0.03,0.01,0.03,0.01,0.2569647857960139,1.895322680853134,3.790645361706268,2,0.19507705096573985
0.03,0.03,0.01,0.03,0.03,0.2165166133581543,1.8228223187712338,4.459808943979747,3,0.23818199642882548
0.03,0.03,0.01,0.03,0.1,0.1524924587419234,2.2258117294352218,4.4516234588704435,2,0.2362184729197034
0.03,0.03,0.01,0.03,0.3,0.013583502344050652,2.4176275426494476,6.756679242551123,5,0.4025089430085049
0.03,0.03,0.01,0.1,0.01,0.3592452198601749,2.336805718489675,4.67361143697935,2,0.20484966698943627
0.03,0.03,0.01,0.1,0.03,0.330532892245016,1.9828795228988223,4.856556985664818,3,0.21324691740139404
0.03,0.03,0.01,0.1,0.1,0.23670869400092037,2.0784805602034453,5.08791388424677,3,0.19747180260801214
0.03,0.03,0.01,0.1,0.3,0.04171122172344765,2.662826894524338,6.4178805255086395,3,0.3035690638302081
0.03,0.03,0.01,0.3,0.01,0.6950155822413407,2.2775715979063413,4.555143195812683,2,0.19879719618055258
0.03,0.03,0.01,0.3,0.03,0.6576160399982633,2.147064208754765,4.29412841750953,2,0.1883585125720201
0.03,0.03,0.01,0.3,0.1,0.5209171641027265,1.9854297241345948,3.9708594482691897,2,0.20065921620341026
0.03,0.03,0.01,0.3,0.3,0.227947454299417,1.9994821039522952,3.9989642079045904,2,0.2023208524004081
0.03,0.1,0.01,0.01,0.01,9.047345759320404,1.4380050740426809,2.8760101480853617,2,0.040074984604861336
0.03,0.1,0.01,0.01,0.03,8.698067388221556,1.3576120124800233,2.7152240249600466,2,0.03484314832409682
0.03,0.1,0.01,0.01,0.1,8.697581882556067,1.457355589892774,2.914711179785548,2,0.039519034521857926
0.03,0.1,0.01,0.01,0.3,6.209482378205601,1.5395154429021183,3.0790308858042366,2,0.04226826415023399
0.03,0.1,0.01,0.03,0.01,9.495463983803996,1.581866256175335,3.16373251235067,2,0.038983935233505906
0.03,0.1,0.01,0.03,0.03,9.315841612268123,1.3683045065640993,2.7366090131281986,2,0.0342276139867638
0.03,0.1,0.01,0.03,0.1,8.54332172891489,1.549911833731461,3.099823667462922,2,0.04072212508419726
0.03,0.1,0.01,0.03,0.3,6.939998987628943,1.6490617669350045,3.298123533870009,2,0.04407193551020003
0.03,0.1,0.01,0.1,0.01,8.603172758120953,1.5687951024258961,3.1375902048517923,2,0.03437545652499238
0.03,0.1,0.01,0.1,0.03,9.446456030349035,1.4654308018205746,2.9308616036411492,2,0.03868383962652147
0.03,0.1,0.01,0.1,0.1,8.294555552281013,1.559926706893636,3.119853413787272,2,0.03786022404142306
0.03,0.1,0.01,0.1,0.3,7.15581005931069,1.5589492111431154,3.1178984222862307,2,0.03493480226207063
0.03,0.1,0.01,0.3,0.01,10.643151340451668,1.6429527291210804,3.2859054582421607,2,0.03448997170832449
0.03,0.1,0.01,0.3,0.03,9.923489296533424,1.4994897536861216,2.998979507372243,2,0.03761469190333694
0.03,0.1,0.01,0.3,0.1,9.644391434565986,1.6229789984710488,3.2459579969420975,2,0.035032797980884794
0.03,0.1,0.01,0.3,0.3,7.148430500283559,1.3985239542988186,2.797047908597637,2,0.038779711767499975
0.03,0.3,0.01,0.01,0.01,37.719160912478614,1.5209659239816928,3.0419318479633857,2,0.009861081894779217
0.03,0.3,0.01,0.01,0.03,36.73231861551086,1.3662901579105124,2.732580315821025,2,0.009072325272075826
0.03,0.3,0.01,0.01,0.1,33.743226277998936,1.599640805834591,3.199281611669182,2,0.00862884117458007
0.03,0.3,0.01,0.01,0.3,29.066641910848926,1.3844949232056023,2.7689898464112046,2,0.008618398586748427
0.03,0.3,0.01,0.03,0.01,35.912227791599804,1.4299942413573994,2.8599884827147988,2,0.008636644618271933
0.03,0.3,0.01,0.03,0.03,39.42653985558778,1.6887624026821442,3.3775248053642883,2,0.00944704844019481
0.03,0.3,0.01,0.03,0.1,34.901335197088805,1.336270873666369,2.672541747332738,2,0.008563758284201473
0.03,0.3,0.01,0.03,0.3,29.536832902922736,1.5356592969767084,3.071318593953417,2,0.010475621741279584
0.03,0.3,0.01,0.1,0.01,36.99531166159931,1.34787486410836,2.69574972821672,2,0.009020787662962076
0.03,0.3,0.01,0.1,0.03,35.9793410708984,1.3385421267246733,2.6770842534493466,2,0.007942382649991642
0.03,0.3,0.01,0.1,0.1,34.77499892534136,1.1105436271539932,2.2210872543079865,2,0.009133473491881705
0.03,0.3,0.01,0.1,0.3,29.88462402118986,1.3418207431474176,2.6836414862948352,2,0.010337312102763785
0.03,0.3,0.01,0.3,0.01,40.72084798529988,1.3275918561826754,2.655183712365351,2,0.0074438487804968645
0.03,0.3,0.01,0.3,0.03,36.50802917449619,1.355291034098379,2.710582068196758,2,0.007738130797320469
0.03,0.3,0.01,0.3,0.1,35.13882134225273,1.4660803610806816,2.9321607221613633,2,0.007330235099704235
0.03,0.3,0.01,0.3,0.3,26.645621585379462,1.1269612050323943,2.2539224100647886,2,0.010036950163715058
0.1,0.01,0.01,0.01,0.01,1.3655547110507524e-07,3.4858919111864513,15.992383071040393,87,0.746027494602077
0.1,0.01,0.01,0.01,0.03,2.2204309916651563e-07,3.098499605477557,15.73272301446298,78,0.8869754241161487
0.1,0.01,0.01,0.01,0.1,3.401925682000466e-08,3.3194865351334575,14.327549840994248,93,0.7988793897523836
0.1,0.01,0.01,0.01,0.3,6.139029660666127e-08,3.2313214436481785,17.118759329392663,87,0.8603388945176029
0.1,0.01,0.01,0.03,0.01,1.0873957026987734e-06,3.9135753864997427,15.01483339609132,58,0.9187752331329251
0.1,0.01,0.01,0.03,0.03,1.130884769659667e-06,3.538491482008189,15.336009060326255,60,0.9275754442190491
0.1,0.01,0.01,0.03,0.1,8.364094413681705e-07,3.496690666031393,17.646137644315544,61,0.9286317100378356
0.1,0.01,0.01,0.03,0.3,5.431445944554307e-07,3.579864542437254,17.48279023112999,71,0.9019655480477957
0.1,0.01,0.01,0.1,0.01,3.112042346495283e-05,4.232788451139274,15.374928315414326,27,0.8859483111480048
0.1,0.01,0.01,0.1,0.03,3.6876703863315706e-05,4.001420117732918,13.643547901926537,27,0.8618214764383224
0.1,0.01,0.01,0.1,0.1,2.988277394228146e-05,4.065470750743056,14.306640063732415,30,0.8814030025066499
0.1,0.01,0.01,0.1,0.3,1.7027497594428276e-05,4.6261422786983175,19.207298673451895,29,0.9061262209375611
0.1,0.01,0.01,0.3,0.01,0.0026502321878156916,5.521269534738682,18.475758002725584,12,0.7461293013443724
0.1,0.01,0.01,0.3,0.03,0.0027231963392495124,4.7067138198137535,17.48970843216978,13,0.7698672801854778
0.1,0.01,0.01,0.3,0.1,0.0023864187962158415,4.3857596776891326,15.190756318907079,12,0.7744556423332254
0.1,0.01,0.01,0.3,0.3,0.0017146331682457044,4.5505207963675725,14.848819656281112,10,0.8116963523963935
0.1,0.03,0.01,0.01,0.01,1.2249989579395e-06,3.424150051706804,15.78128214507339,69,0.8410765664462561
0.1,0.03,0.01,0.01,0.03,1.366465000957315e-06,3.6839528775365395,14.760142873034098,63,0.8503476141072152
0.1,0.03,0.01,0.01,0.1,7.50723412648444e-08,3.6724101550645196,18.231917023502312,85,0.8556013469592383
0.1,0.03,0.01,0.01,0.3,5.00405968135202e-08,3.4900670738739654,16.974125095381815,92,0.8233069288622461
0.1,0.03,0.01,0.03,0.01,3.046723347088754e-06,4.001500201692652,17.144531396657076,51,0.8884855896253644
0.1,0.03,0.01,0.03,0.03,2.9187687277092127e-06,4.011253511140623,15.574407520737678,49,0.878170994453565
0.1,0.03,0.01,0.03,0.1,1.1338926162675097e-06,3.9446934592921257,17.409728637528783,57,0.8808684206759558
0.1,0.03,0.01,0.03,0.3,3.839804453026599e-07,3.7409615699066956,15.731185411368314,78,0.8946757147205111
0.1,0.03,0.01,0.1,0.01,6.998642904021696e-05,4.680119201464145,14.859468158119562,23,0.8757795022244341
0.1,0.03,0.01,0.1,0.03,6.736295358675015e-05,4.823740211000791,17.33906989905322,22,0.8298084907529862
0.1,0.03,0.01,0.1,0.1,3.492890462260916e-05,4.247298318503011,14.183670994198604,25,0.8088237667362984
0.1,0.03,0.01,0.1,0.3,4.3828712550013735e-06,4.094921488888552,16.901855290747456,44,0.898348338484757
0.1,0.03,0.01,0.3,0.01,0.00579396878208941,5.092056829115073,16.060399493791518,10,0.6793570862592389
0.1,0.03,0.01,0.3,0.03,0.006407314969294773,5.981000904356833,19.71746694257201,13,0.6771874953191954
0.1,0.03,0.01,0.3,0.1,0.004881482629600316,4.679991578527531,15.9161538509017,10,0.6429472217082949
0.1,0.03,0.01,0.3,0.3,0.0014952554372008994,4.4263902061750615,14.011272797574293,12,0.7279046423052098
0.1,0.1,0.01,0.01,0.01,0.2023694887078931,1.8038874374147826,4.378555870929117,3,0.21051738741397688
0.1,0.1,0.01,0.01,0.03,0.1586363811034905,2.556097884413706,5.112195768827412,2,0.24664412170112746
0.1,0.1,0.01,0.01,0.1,0.016280211868197544,3.63265832529983,10.14354478236357,4,0.40400217153249485
0.1,0.1,0.01,0.01,0.3,0.0018873113116644384,3.03552742577561,8.291383585213557,4,0.4785331077237426
0.1,0.1,0.01,0.03,0.01,0.3308847268961581,2.623282990487426,5.246565980974852,2,0.1979416214879816
0.1,0.1,0.01,0.03,0.03,0.22798446800772967,1.9201482463945343,5.371372814065252,4,0.21583182918089017
0.1,0.1,0.01,0.03,0.1,0.03307007684021006,2.3340796219354107,5.572055323475242,3,0.3057477477466293
0.1,0.1,0.01,0.03,0.3,0.004007355808423455,3.647900324631862,10.397090386476117,5,0.4943810234965138
0.1,0.1,0.01,0.1,0.01,0.6248535877020294,2.868603224323606,5.737206448647212,2,0.23030765291570482
0.1,0.1,0.01,0.1,0.03,0.5582658264701992,2.455623653490335,4.91124730698067,2,0.1958537736040168
0.1,0.1,0.01,0.1,0.1,0.23061852578661,2.202668893488748,5.3287179732947445,3,0.20287044827890083
0.1,0.1,0.01,0.1,0.3,0.0076908470414645234,3.2860021256254566,10.362993419983557,6,0.5316985825096061
0.1,0.1,0.01,0.3,0.01,1.658074388842826,2.1435397236053504,4.287079447210701,2,0.1797184678945463
0.1,0.1,0.01,0.3,0.03,1.5317577532661084,2.4043882912526926,4.808776582505385,2,0.20449254766887726
0.1,0.1,0.01,0.3,0.1,1.105775765528577,2.2911202891121665,4.582240578224333,2,0.20090352241681744
0.1,0.1,0.01,0.3,0.3,0.22849452929726083,2.2962496081592567,4.592499216318513,2,0.19826609229993333
0.1,0.3,0.01,0.01,0.01,24.11180208776253,1.2488018839941843,2.4976037679883687,2,0.04168369844957334
0.1,0.3,0.01,0.01,0.03,25.279522623066896,1.4295199223320498,2.8590398446640997,2,0.042596382293712154
0.1,0.3,0.01,0.01,0.1,19.982383593320026,1.6487154073136272,3.2974308146272544,2,0.041209155184180946
0.1,0.3,0.01,0.01,0.3,17.462264964694008,1.2903831251970563,2.5807662503941127,2,0.03941698344942671
0.1,0.3,0.01,0.03,0.01,24.2567620169724,1.526909023240128,3.053818046480256,2,0.041714646566800406
0.1,0.3,0.01,0.03,0.03,23.681872775727125,1.4322146676475829,2.8644293352951657,2,0.039799796771546214
0.1,0.3,0.01,0.03,0.1,22.076405075178904,1.4477361656690786,2.895472331338157,2,0.043741413699694504
0.1,0.3,0.01,0.03,0.3,18.35478854601652,1.7516108661357572,3.5032217322715145,2,0.0508902648741347
0.1,0.3,0.01,0.1,0.01,23.85822469234068,1.4891828578024533,2.9783657156049066,2,0.041887907735822794
0.1,0.3,0.01,0.1,0.03,26.23044784658846,1.4725567581577188,2.9451135163154376,2,0.04267711469305946
0.1,0.3,0.01,0.1,0.1,26.04274125505806,1.3624889035726728,2.7249778071453457,2,0.04353959044658656
0.1,0.3,0.01,0.1,0.3,16.915607839517,1.3009696925075394,2.6019393850150787,2,0.047936562710993474
0.1,0.3,0.01,0.3,0.01,26.611693755958143,1.8168577500344512,3.6337155000689023,2,0.04483743420253486
0.1,0.3,0.01,0.3,0.03,25.024849058712558,1.4007644847881116,2.801528969576223,2,0.04016104382121263
0.1,0.3,0.01,0.3,0.1,23.629417651244623,1.3655921759757206,2.731184351951441,2,0.03829851818302163
0.1,0.3,0.01,0.3,0.3,18.765782551877138,1.518665135367274,3.037330270734548,2,0.04820768899655972
0.3,0.01,0.01,0.01,0.01,2.4790011998368445e-07,3.716517803211872,16.94844040539157,85,0.8955075218484891
0.3,0.01,0.01,0.01,0.03,1.3669106584880572e-07,3.658326687279659,18.12409981487906,92,0.7969957038832044
0.3,0.01,0.01,0.01,0.1,1.8180842974328936e-07,3.2957991256552255,16.541973038355337,84,0.8863549720873931
0.3,0.01,0.01,0.01,0.3,1.820205927722156e-07,3.0988434549439314,16.792372663660178,88,0.8559831884690102
0.3,0.01,0.01,0.03,0.01,3.7049673602150984e-06,3.9110461304627555,17.540511632211295,57,0.8886570604514706
0.3,0.01,0.01,0.03,0.03,2.2272153515667145e-06,3.8457748437359904,16.051808214880346,66,0.9232640204720253
0.3,0.01,0.01,0.03,0.1,2.503438586836072e-06,3.65795032718819,15.946359434005519,62,0.8961361504918033
0.3,0.01,0.01,0.03,0.3,2.8788102576768447e-06,4.063394753124685,19.144635605097395,60,0.818130854467626
0.3,0.01,0.01,0.1,0.01,0.0001166071701171578,4.544135944809681,15.891230943439986,30,0.8012338421923942
0.3,0.01,0.01,0.1,0.03,9.419239161469276e-05,4.0136616569353025,14.541808930134149,31,0.9046916588677079
0.3,0.01,0.01,0.1,0.1,0.00011777909796004136,4.304003496108599,17.844507524213938,28,0.871661056968596
0.3,0.01,0.01,0.1,0.3,5.616139706962108e-05,4.918700921328114,17.99198208804251,35,0.9075058204022897
0.3,0.01,0.01,0.3,0.01,0.007241754087542461,4.945111633582864,16.00396617804806,11,0.727085323380166
0.3,0.01,0.01,0.3,0.03,0.00643615413596874,5.013065174648037,16.03156969142781,15,0.7737883536679488
0.3,0.01,0.01,0.3,0.1,0.005403087024853583,4.935315806087049,15.78681348078641,14,0.7840168517797488
0.3,0.01,0.01,0.3,0.3,0.005528625213555435,4.899691403860586,15.815231685575574,12,0.7987176909094333
0.3,0.03,0.01,0.01,0.01,5.702075325078658e-07,3.3901682977924623,17.578407915377497,80,0.8497765846898222
0.3,0.03,0.01,0.01,0.03,5.677615690981136e-07,3.7995026044018587,16.501212443439844,81,0.7427202131769042
0.3,0.03,0.01,0.01,0.1,2.518534554953596e-07,3.596933034006223,16.940914120165075,87,0.836956730143164
0.3,0.03,0.01,0.01,0.3,2.5421108085770757e-07,3.6201772453931422,19.726388193468868,86,0.858541002018526
0.3,0.03,0.01,0.03,0.01,4.805111957949563e-06,3.3956469596639205,14.279122601342378,57,0.8777340529153468
0.3,0.03,0.01,0.03,0.03,3.8133121414858326e-06,3.837424304564533,17.12695986050827,59,0.9215769267723465
0.3,0.03,0.01,0.03,0.1,3.555211726696801e-06,3.9614947605802464,17.970727461233672,60,0.8169205594228782
0.3,0.03,0.01,0.03,0.3,1.4593558755795212e-06,3.537298276016932,15.362255969703934,66,0.927949900376151
0.3,0.03,0.01,0.1,0.01,9.321661161373703e-05,4.615002089782881,16.585932497743094,27,0.8818608795437034
0.3,0.03,0.01,0.1,0.03,0.0001187378456415211,4.451316475484633,14.621818140133676,30,0.8936338095103107
0.3,0.03,0.01,0.1,0.1,0.00011252471572831251,3.7805425796469545,12.960796178285936,24,0.869296312365677
0.3,0.03,0.01,0.1,0.3,4.1627452348674184e-05,4.23922140569141,15.036260423873582,35,0.9056173387840006
0.3,0.03,0.01,0.3,0.01,0.009457009249437912,5.650879814409784,21.220063458669053,15,0.7381352019988059
0.3,0.03,0.01,0.3,0.03,0.008277050354176755,4.408522325058004,14.292159989794094,11,0.7678133712954367
0.3,0.03,0.01,0.3,0.1,0.007920573324370525,5.3120832676138985,20.3743320537738,12,0.7307775830404972
0.3,0.03,0.01,0.3,0.3,0.005951009712738867,5.1914415728989365,17.123929722246125,14,0.6971341729173969
0.3,0.1,0.01,0.01,0.01,4.303929429655197e-06,3.9966248615203455,17.887652297407644,68,0.7608399809236684
0.3,0.1,0.01,0.01,0.03,1.0227753820961478e-06,3.346960761746307,14.425394103708888,81,0.8525798944771382
0.3,0.1,0.01,0.01,0.1,9.459229951745696e-07,3.549570220227103,15.9869329151305,79,0.6538352040428236
0.3,0.1,0.01,0.01,0.3,1.649141664163468e-07,3.591315462229843,23.557186586697615,90,0.6804385761959286
0.3,0.1,0.01,0.03,0.01,1.4783122735602711e-05,3.8973596862797044,18.799317033146995,39,0.9095335590661061
0.3,0.1,0.01,0.03,0.03,9.119035566431907e-06,4.079416469065626,15.771712999688775,45,0.922943269325715
0.3,0.1,0.01,0.03,0.1,3.7624394781777516e-06,3.6144182311247346,15.613655763263068,63,0.8202592266108858
0.3,0.1,0.01,0.03,0.3,1.5844680505055827e-06,3.3841093131627606,16.0241450413736,70,0.9207605453322366
0.3,0.1,0.01,0.1,0.01,0.000260742942035113,4.536441201659217,15.568635397104345,22,0.8185434482630067
0.3,0.1,0.01,0.1,0.03,0.0002002722256855063,4.372580976039647,15.38266123675642,22,0.7949896824711233
0.3,0.1,0.01,0.1,0.1,6.80169374150871e-05,4.945372097301242,21.34558495868042,28,0.8870297145967385
0.3,0.1,0.01,0.1,0.3,1.2099245134038174e-05,3.931564103202336,16.100727104252943,40,0.9256139960650274
0.3,0.1,0.01,0.3,0.01,0.02504191772561347,3.3576255376754576,11.274661886600608,8,0.5978434657315386
0.3,0.1,0.01,0.3,0.03,0.01989163273513272,4.558976893597316,14.111200846313036,8,0.6964721509424745
0.3,0.1,0.01,0.3,0.1,0.013299060349699496,5.317341390080866,17.31801317802155,9,0.6558420214755174
0.3,0.1,0.01,0.3,0.3,0.004526337048850978,4.479204394774282,14.494944512870223,13,0.7269416597651254
0.3,0.3,0.01,0.01,0.01,0.2347064585941317,1.8543828306170245,4.536433504475124,3,0.23302160971481314
