h_values,a_values,c_values,global_node_eccentricity,local_node_eccentricity,community_eccentricity,community_size
0.11286189289814202,0.16322808668147346,0.15542811897704661,0.2859850861006724,0.2862713574581305,0.07609533496566989,227
0.19064608908160277,0.14891286891651168,0.12309589349045957,0.1519212177982135,0.15207329108930276,0.032766164795535554,229
0.08894469375311953,0.10586786033163029,0.18388003044810947,0.04196168150093518,0.042003685186121326,0.07609533496566989,227
0.14423161697188167,0.17646840068166647,0.2577818389505301,0.31437920837477423,0.3146939022770513,0.18390696133090684,227
0.20624580883209725,0.1712771264692713,0.10024068728563598,0.7759509023638805,0.7767276299938743,0.18390696133090684,227
0.17977649360980935,0.10656587284533575,0.12383573133650762,0.9263742261370175,0.9273015276646821,0.18390696133090684,227
0.018850261337742147,0.10674246852847953,0.21578905655092406,0.3234424900006171,0.32376625625687394,0.10087284202866376,317
0.21768657331844118,0.2094785779554938,0.1394008421153573,0.23531232089718615,0.23554786876595207,0.10087284202866376,317
0.17483245237380746,0.21722271607490537,0.16606512426472517,0.2343330998759664,0.23456766754350986,0.18390696133090684,227
0.13040927621608583,0.24103380920036763,0.24193204719202818,0.9837812901887387,0.9847660562449837,0.18390696133090684,227
0.05882781839759196,0.1449650310656356,0.11534369552184423,1.1771936429050984,1.1783720149200183,0.10087284202866376,317
0.05996409550676342,0.1715081152252193,0.236812052770432,0.11409450161833429,0.11420871032866292,0.07609533496566989,227
0.15551291055898658,0.16670997812919341,0.08723864280998785,0.04932219247550937,0.0493715640395489,0.18390696133090684,227
0.20091684257621029,0.13762262479634046,0.13633857009647335,0.20966600537808405,0.20987588125934337,0.10087284202866376,317
0.19077784855676774,0.12430157465149094,0.13738200365040376,0.38125551041574723,0.38163714756331046,0.032766164795535554,229
0.04106772403007915,0.15515706986259506,0.1440714869311682,0.05205408303969428,0.05210618922892321,0.032766164795535554,229
0.12883142943035292,0.09957870430589066,0.1534457016603507,0.2448353375361365,0.2450804179540906,0.18390696133090684,227
0.08825918060603663,0.15371861579359486,0.1245737827168746,1.2496196270793645,1.2508704975769414,0.032766164795535554,229
0.19129707775545646,0.1389609242855945,0.03272026301127476,0.0795382986974803,0.07961791661409437,0.10087284202866376,317
0.0925835479822453,0.2792844424623717,0.1298570249737318,0.5599804015986035,0.5605409425411446,0.18390696133090684,227
0.19415148558997758,0.24324470429428763,0.11797755526137665,0.7819178952033389,0.782700595799138,0.032766164795535554,229
0.12939794737700905,0.20282887277716483,0.1556915052793432,0.11499172820063192,0.11510683503566757,0.10087284202866376,317
0.19586121474174137,0.15042073073703818,0.19408725154744466,0.2533999825402903,0.25365363617646675,0.10087284202866376,317
0.12673754264420836,0.10418239120493206,0.1402783670106861,0.2750573316540579,0.2753326643183763,0.032766164795535554,229
0.14947028711084262,0.01754740560610929,0.14650475638748994,0.4035041282019272,0.4039080362381653,0.032766164795535554,229
0.12099045807692524,0.22249587749350996,0.15121154630882405,0.050786284186764216,0.05083712130807229,0.18390696133090684,227
0.21399348041670493,0.10946873490214584,0.10368764579245811,0.29540806846132006,0.2957037722335536,0.07609533496566989,227
0.22683451582274666,0.1042610320068669,0.17325548995248097,0.13245962609837092,0.1325922183166876,0.10087284202866376,317
0.15469661756483583,0.0928440063507181,0.1984557011506483,0.06253590503441198,0.0625985035379499,0.032766164795535554,229
0.13768673389149522,0.21694832009950277,0.18533206270673075,0.9646467634866858,0.9656123758625483,0.07609533496566989,227
0.25562618476843313,0.14030005446925506,0.1373106424006645,0.014871195661424697,0.014886081743167884,0.10087284202866376,317
0.17444216178624228,0.1212349388738154,0.10017605611309935,0.08536781926811549,0.08545327254065616,0.10087284202866376,317
0.08106013960967928,0.1302172936825931,0.1782945857098428,0.7373492181110581,0.7380873054164746,0.18390696133090684,227
0.23271288029561163,0.16286827177474952,0.13984542231955224,0.21134167944182908,0.21155323267450357,0.032766164795535554,229
0.22166572386258637,0.14292853551389847,0.11083982736038056,0.16067647443475253,0.16083731174649898,0.032766164795535554,229
0.1562712201148989,0.2372631810461172,0.10657392462696537,0.14496690541919943,0.14511201743663604,0.07609533496566989,227
0.15363685940372138,0.08582509054356531,0.18686293175479685,0.08724863964343882,0.08733597561905784,0.18390696133090684,227
0.18085755696592398,0.1575809962735242,0.13307362604277145,1.5446000748098414,1.5461462210308723,0.07609533496566989,227
0.18942104868765589,0.19016716233763187,0.11692950530614638,0.02570360317172729,0.02572933250423154,0.10087284202866376,317
0.10560615688864824,0.2869809905962503,0.08173646046065135,1.0191615581477222,1.0201817398876096,0.18390696133090684,227
0.12788649642081848,0.1833264850932622,0.16046176945625784,0.32999179960534675,0.33032212172707387,0.032766164795535554,229
0.12334748921285235,0.09970069518728206,0.13310452870882938,0.2093231480836445,0.20953268076440887,0.18390696133090684,227
0.1720083962412204,0.19493385937025146,0.08454511603221958,0.18017108313054495,0.18035143456511005,0.07609533496566989,227
0.18809476246626655,0.12068336291272333,0.14206772530795672,0.3106513266878256,0.31096228897680234,0.10087284202866376,317
