h_values,a_values,c_values,global_node_eccentricity,local_node_eccentricity,community_eccentricity,community_size
0.01,0.03,0.01,1.079283378789414,1.080363742531946,2.3892461884028933,507
0.1,0.03,0.1,1.6485334244721617,1.650183608080242,2.457094964544154,493
0.03,0.03,0.3,1.5111528379638077,1.512665503467275,2.3892461884028933,507
0.1,0.01,0.03,1.80135805461244,1.8031612158282682,2.3892461884028933,507
0.3,0.01,0.03,0.8874734148118091,0.8883617765883975,2.3892461884028933,507
0.03,0.01,0.03,0.7059392474521201,0.7066458933454656,2.457094964544154,493
0.3,0.01,0.03,0.19183884163211903,0.1920308725046237,2.3892461884028933,507
0.3,0.3,0.1,0.36418077410157956,0.36454531942100055,2.3892461884028933,507
0.1,0.3,0.1,4.793295541585704,4.7980936352209245,2.457094964544154,493
0.03,0.3,0.03,3.12757160298252,3.130702305287808,2.457094964544154,493
0.1,0.03,0.03,2.6513002454152157,2.6539541996148306,2.457094964544154,493
0.03,0.1,0.3,5.342008595603301,5.347355951554856,2.457094964544154,493
0.03,0.3,0.3,4.707606470591103,4.712318789380483,2.457094964544154,493
0.1,0.1,0.1,2.4210866778981437,2.42351018808623,2.3892461884028933,507
0.01,0.3,0.03,2.151044736688532,2.1531979346231553,2.3892461884028933,507
0.1,0.3,0.1,3.3882763496553534,3.3916680176730263,2.3892461884028933,507
0.1,0.01,0.3,0.4658024131201255,0.4662686818019274,2.457094964544154,493
0.03,0.1,0.03,3.2772611894762926,3.2805417312075003,2.3892461884028933,507
0.1,0.03,0.1,0.6652030507279866,0.6658689196476343,2.3892461884028933,507
0.03,0.3,0.03,3.2145188363726986,3.217736572945644,2.3892461884028933,507
0.3,0.3,0.03,2.609942054561374,2.6125546091705445,2.3892461884028933,507
0.3,0.01,0.03,0.5731000475616308,0.5736737212829137,2.457094964544154,493
0.03,0.1,0.01,2.5860208774692492,2.5886094869562055,2.457094964544154,493
0.01,0.1,0.1,1.6922366019014592,1.693930532433893,2.3892461884028933,507
0.01,0.3,0.3,1.7454477012886473,1.7471948961848323,2.3892461884028933,507
0.01,0.3,0.01,1.367642405271412,1.3690114166881002,2.457094964544154,493
0.1,0.3,0.3,2.1206991055349915,2.122821927462454,2.457094964544154,493
0.1,0.3,0.3,2.369362971728426,2.371734706434861,2.3892461884028933,507
0.1,0.01,0.3,0.7338679082182573,0.7346025107289863,2.3892461884028933,507
0.3,0.01,0.3,1.8543544916601382,1.8562107023625007,2.457094964544154,493
0.1,0.01,0.3,2.3483887663181955,2.3507395058240195,2.457094964544154,493
0.03,0.03,0.03,5.30748278365312,5.312795579232353,2.3892461884028933,507
0.1,0.3,0.1,1.3222396103753324,1.3235631735488813,2.457094964544154,493
0.3,0.1,0.3,1.3480431706897573,1.3493925632530104,2.457094964544154,493
0.3,0.01,0.03,3.6432834665119276,3.6469303969088367,2.457094964544154,493
0.1,0.1,0.1,5.27401070067504,5.279289990665706,2.3892461884028933,507
0.01,0.3,0.1,2.658590219675549,2.661251471146696,2.457094964544154,493
0.3,0.1,0.1,1.7360153204281625,1.7377530735016642,2.3892461884028933,507
0.3,0.3,0.3,1.2810249966316267,1.2823073039355621,2.3892461884028933,507
0.01,0.3,0.03,0.7202362094435012,0.7209571666101113,2.457094964544154,493
0.01,0.03,0.3,1.94391665197115,1.9458625144856356,2.457094964544154,493
0.1,0.1,0.03,0.322003564639029,0.3223258905295586,2.3892461884028933,507
0.3,0.03,0.3,1.9985756546573252,2.0005762308882136,2.457094964544154,493
0.3,0.01,0.03,1.3381333080418896,1.3394727808227123,2.3892461884028933,507
0.01,0.03,0.3,3.600492796476083,3.6040968933694524,2.3892461884028933,507
0.1,0.01,0.01,4.031632114079482,4.035667781861343,2.3892461884028933,507
0.1,0.1,0.03,2.2459629922875153,2.2482112034910062,2.457094964544154,493
0.03,0.01,0.01,1.2390861068955996,1.2403264333289286,2.457094964544154,493
0.3,0.03,0.03,4.162347746037103,4.1665142602974,2.457094964544154,493
0.01,0.01,0.3,1.874976386409765,1.8768532396494146,2.457094964544154,493
0.1,0.1,0.03,2.6348854314917762,2.637522954446222,2.3892461884028933,507
0.03,0.03,0.3,0.3674595044762121,0.36782733180802013,2.457094964544154,493
0.1,0.1,0.1,3.5027456049443715,3.506251856801173,2.457094964544154,493
0.1,0.1,0.01,3.809399949186476,3.8132131623488252,2.457094964544154,493
0.1,0.1,0.03,2.854935957551892,2.857793751303195,2.457094964544154,493
0.01,0.1,0.3,0.07634957664515293,0.07642600264780074,2.3892461884028933,507
0.1,0.03,0.03,0.7682428365511474,0.7690118483995471,2.3892461884028933,507
0.3,0.01,0.03,0.001975093642361564,0.0019770707130746107,2.457094964544154,493
0.3,0.03,0.03,0.01999071985078174,0.02001073058136306,2.3892461884028933,507
0.1,0.1,0.3,1.7990915739470001,1.8008924664134136,2.457094964544154,493
0.03,0.3,0.3,8.662754394458409,8.671425820278687,2.3892461884028933,507
0.01,0.3,0.01,0.8646167516144161,0.8654822338482643,2.457094964544154,493
0.3,0.1,0.01,1.0379889104466369,1.039027938385022,2.457094964544154,493
0.3,0.03,0.3,1.420276917210121,1.421698615825947,2.457094964544154,493
0.3,0.01,0.01,1.7067230181544493,1.7084314496040534,2.3892461884028933,507
0.03,0.01,0.3,1.099887604790708,1.100988593384092,2.3892461884028933,507
