h_values,a_values,c_values,node_eccentricity,community_opinion_eccentricity,community_size
0.01,0.01,0.3,0.48333677125751373,0.08753671142552627,27
0.3,0.01,0.03,0.24146018571865946,0.03139130048088451,46
0.03,0.01,0.01,0.30666941512614687,0.03139130048088451,46
0.1,0.3,0.3,0.09363707262023269,0.03139130048088451,46
0.1,0.03,0.03,0.037062067208784535,0.03139130048088451,46
0.03,0.03,0.01,0.07460016116842913,0.08753671142552627,27
0.3,0.3,0.1,0.4843881491012497,0.08753671142552627,27
0.1,0.01,0.03,0.8184768339337103,0.14101818631888516,27
0.03,0.1,0.03,0.010711694476242095,0.03139130048088451,46
0.01,0.01,0.1,0.18584577296467253,0.14101818631888516,27
0.3,0.1,0.3,0.518998714456335,0.03139130048088451,46
0.03,0.1,0.03,0.1535433795862789,0.03139130048088451,46
0.03,0.03,0.03,0.2180495419315529,0.03139130048088451,46
0.3,0.01,0.01,0.056521709358828665,0.03139130048088451,46
0.1,0.03,0.01,0.6248196399589055,0.03139130048088451,46
0.3,0.1,0.03,0.33939154812711103,0.14101818631888516,27
0.01,0.03,0.01,0.5450611061003069,0.03139130048088451,46
0.1,0.1,0.03,0.04271443905207359,0.03139130048088451,46
0.1,0.1,0.01,0.3820596408982254,0.03139130048088451,46
0.03,0.1,0.1,0.48550027070552165,0.03139130048088451,46
0.01,0.01,0.3,0.20622945926522304,0.14101818631888516,27
0.3,0.3,0.1,0.6033768642798507,0.08753671142552627,27
0.01,0.01,0.1,0.397796528210299,0.03139130048088451,46
0.3,0.3,0.01,0.30647021106310945,0.03139130048088451,46
0.3,0.3,0.01,0.24224318025741126,0.03139130048088451,46
0.1,0.1,0.01,0.3942417441942265,0.08753671142552627,27
0.03,0.1,0.01,0.19795520058463684,0.14101818631888516,27
0.01,0.1,0.03,0.4736625376639556,0.14101818631888516,27
0.01,0.01,0.3,0.9847010907317053,0.14101818631888516,27
0.3,0.03,0.1,0.48607461174108435,0.08753671142552627,27
0.03,0.3,0.3,0.5037344196108232,0.03139130048088451,46
