h_values,a_values,c_values,node_eccentricity,community_opinion_eccentricity,community_size
0.01,0.1,0.03,0.2155212535137392,0.03481364532047494,294
0.01,0.03,0.01,0.3778103630853611,0.00566846659413351,263
0.1,0.03,0.3,0.05302805433120027,0.08444111263851577,241
0.01,0.03,0.1,0.1241063698550208,0.00566846659413351,263
0.01,0.1,0.01,0.1753018730165885,0.08444111263851577,241
0.03,0.01,0.03,0.23491258374950919,0.00566846659413351,263
0.03,0.03,0.01,0.10895027615690187,0.05745496601940496,202
0.03,0.1,0.1,0.11640544223513834,0.03481364532047494,294
0.1,0.3,0.01,0.2503396196860978,0.00566846659413351,263
0.01,0.03,0.03,0.5169608715848586,0.00566846659413351,263
0.3,0.03,0.1,0.5777175287890234,0.05745496601940496,202
0.1,0.03,0.03,0.0072680746339253074,0.03481364532047494,294
0.03,0.01,0.3,0.2724580694146758,0.03481364532047494,294
0.01,0.03,0.3,1.3816291877696298,0.03481364532047494,294
0.03,0.3,0.01,0.6777371836065831,0.08444111263851577,241
0.03,0.1,0.01,0.10258231566108865,0.05745496601940496,202
0.01,0.1,0.03,0.08137146466664824,0.00566846659413351,263
0.1,0.03,0.1,0.5395967731348712,0.00566846659413351,263
0.1,0.3,0.1,0.20557109103378002,0.03481364532047494,294
0.3,0.03,0.01,0.4586593610762096,0.08444111263851577,241
0.01,0.1,0.1,0.2408044938295343,0.00566846659413351,263
0.01,0.01,0.1,0.16857876788023368,0.00566846659413351,263
0.03,0.01,0.01,0.42034510022178856,0.08444111263851577,241
0.03,0.01,0.03,0.4162062291827593,0.08444111263851577,241
0.1,0.03,0.3,0.5813210132828719,0.00566846659413351,263
0.1,0.3,0.01,0.13582021588417692,0.05745496601940496,202
0.3,0.03,0.1,0.07872153533450763,0.00566846659413351,263
0.01,0.3,0.3,0.855344889617246,0.00566846659413351,263
0.3,0.01,0.3,0.07707908425160746,0.08444111263851577,241
0.03,0.01,0.3,0.16311007366932206,0.05745496601940496,202
0.1,0.1,0.3,0.09519973559411263,0.00566846659413351,263
0.1,0.1,0.1,0.2864815332268005,0.03481364532047494,294
0.01,0.01,0.3,0.3062109839974613,0.08444111263851577,241
0.03,0.01,0.1,0.07467372437064593,0.05745496601940496,202
0.3,0.1,0.1,0.061657218381073124,0.00566846659413351,263
0.1,0.1,0.1,0.8258360305665583,0.03481364532047494,294
0.1,0.01,0.01,0.06001368735680855,0.03481364532047494,294
0.3,0.03,0.3,0.9650999325514574,0.08444111263851577,241
0.01,0.01,0.1,0.4507016735263991,0.05745496601940496,202
0.01,0.03,0.3,0.26396015725688315,0.05745496601940496,202
0.3,0.01,0.01,0.4537580732373661,0.00566846659413351,263
0.01,0.03,0.03,0.3493628821104871,0.03481364532047494,294
0.3,0.1,0.01,0.3788716604643636,0.05745496601940496,202
0.03,0.3,0.1,0.08457415894372253,0.03481364532047494,294
0.01,0.01,0.1,0.04334339869384297,0.00566846659413351,263
0.1,0.03,0.1,0.5665822574769838,0.05745496601940496,202
0.03,0.01,0.03,0.5696242085720361,0.00566846659413351,263
0.3,0.1,0.03,0.2263892737644559,0.08444111263851577,241
0.03,0.03,0.03,0.014395531569212278,0.08444111263851577,241
