h_values,a_values,c_values,node_eccentricity,community_opinion_eccentricity,community_size
0.03,0.03,0.3,0.2567037721205088,1.408955324289711,506
0.1,0.01,0.01,0.5112641141636537,1.408955324289711,506
0.3,0.01,0.03,0.40664957317716477,1.443180959697557,494
0.3,0.03,0.1,1.828812578754043,1.443180959697557,494
0.01,0.01,0.3,0.34125566936798074,1.408955324289711,506
0.01,0.1,0.1,2.2737592135999756,1.443180959697557,494
0.01,0.1,0.1,1.4197442128609645,1.408955324289711,506
0.1,0.1,0.03,0.8841800320577419,1.408955324289711,506
0.03,0.01,0.01,0.6964306471603244,1.408955324289711,506
0.03,0.1,0.01,2.1170314174326785,1.408955324289711,506
0.01,0.3,0.01,4.044044087734747,1.408955324289711,506
0.03,0.01,0.03,2.333519549628913,1.408955324289711,506
0.3,0.01,0.01,0.3743954508591364,1.408955324289711,506
0.3,0.1,0.03,2.5568612726038524,1.443180959697557,494
0.3,0.1,0.3,1.481033411055468,1.443180959697557,494
0.3,0.01,0.3,1.3196129102207659,1.443180959697557,494
0.03,0.01,0.01,0.04592300059861103,1.408955324289711,506
0.3,0.01,0.03,0.47362222197742126,1.443180959697557,494
0.03,0.03,0.1,0.029897689225794718,1.408955324289711,506
0.03,0.01,0.01,2.948931732429295,1.408955324289711,506
0.01,0.3,0.01,2.1781145540225575,1.443180959697557,494
0.01,0.03,0.03,0.3842050669884845,1.443180959697557,494
0.3,0.01,0.01,1.0183368659807208,1.443180959697557,494
0.01,0.03,0.03,0.11068356115948848,1.408955324289711,506
0.03,0.01,0.3,1.245013397362034,1.443180959697557,494
0.01,0.3,0.03,1.0986902749129586,1.408955324289711,506
0.1,0.01,0.01,0.47832013062836504,1.443180959697557,494
0.03,0.1,0.01,0.5105882153106304,1.408955324289711,506
0.1,0.3,0.3,2.183708234691004,1.408955324289711,506
0.3,0.3,0.3,1.680895793210566,1.443180959697557,494
0.3,0.1,0.03,2.3883173183066226,1.443180959697557,494
0.01,0.1,0.1,2.768887158046331,1.408955324289711,506
0.01,0.3,0.01,0.595952926762426,1.408955324289711,506
0.3,0.03,0.03,1.5523381474109141,1.408955324289711,506
0.3,0.1,0.03,2.7084604004986534,1.408955324289711,506
0.1,0.1,0.1,0.8115264592341279,1.408955324289711,506
0.03,0.3,0.1,1.7597354829998275,1.408955324289711,506
0.03,0.01,0.1,0.6106751353359854,1.443180959697557,494
0.01,0.03,0.1,2.0615847985304745,1.443180959697557,494
0.3,0.3,0.3,1.8726566546387475,1.443180959697557,494
0.03,0.03,0.3,0.7639599039661973,1.408955324289711,506
0.1,0.01,0.03,2.6334052452011427,1.408955324289711,506
0.1,0.03,0.03,0.2762155547806552,1.408955324289711,506
0.3,0.1,0.01,0.427276083235785,1.408955324289711,506
0.01,0.01,0.03,3.523040760028828,1.408955324289711,506
0.1,0.3,0.03,0.40546364281196134,1.443180959697557,494
0.1,0.1,0.1,2.285215154321881,1.408955324289711,506
0.03,0.03,0.1,3.5587407948090153,1.443180959697557,494
0.3,0.1,0.01,1.1800478301259054,1.443180959697557,494
0.03,0.1,0.3,0.32660366856068873,1.408955324289711,506
0.03,0.03,0.01,1.1593099023942293,1.408955324289711,506
0.1,0.01,0.03,0.4186483498192853,1.408955324289711,506
0.03,0.1,0.01,0.01798756156666092,1.408955324289711,506
0.1,0.3,0.3,3.8415149997408986,1.443180959697557,494
0.1,0.03,0.01,0.2954860412943541,1.443180959697557,494
0.01,0.1,0.03,3.8286908321486073,1.408955324289711,506
0.1,0.3,0.03,1.2921754573821418,1.443180959697557,494
0.3,0.01,0.1,0.5807190176261418,1.443180959697557,494
0.03,0.1,0.01,1.925439838535856,1.408955324289711,506
0.1,0.01,0.03,0.6508106415310383,1.408955324289711,506
0.03,0.3,0.3,0.756868076851135,1.408955324289711,506
0.3,0.03,0.1,1.378885833220585,1.443180959697557,494
0.3,0.01,0.01,0.5344568583215926,1.408955324289711,506
0.1,0.3,0.3,3.197207263805655,1.408955324289711,506
0.03,0.03,0.3,1.7968985557583057,1.443180959697557,494
0.03,0.03,0.3,0.172208357899903,1.408955324289711,506
0.03,0.03,0.1,1.5535418289998346,1.408955324289711,506
0.03,0.1,0.03,0.6281419581371329,1.443180959697557,494
0.01,0.01,0.1,0.9151593318709763,1.408955324289711,506
0.03,0.1,0.03,0.4132079255330459,1.408955324289711,506
0.03,0.3,0.01,0.6162134487473445,1.443180959697557,494
0.3,0.01,0.3,1.9890319987112661,1.443180959697557,494
0.1,0.03,0.03,1.1506391165281584,1.408955324289711,506
0.01,0.3,0.1,0.21976250397595465,1.443180959697557,494
0.3,0.01,0.3,1.7002661026501535,1.443180959697557,494
0.01,0.3,0.3,3.732694569519084,1.408955324289711,506
0.01,0.01,0.03,7.193659090736617,1.408955324289711,506
0.03,0.01,0.03,0.4455708369064814,1.443180959697557,494
0.03,0.1,0.3,1.0220994596077662,1.443180959697557,494
0.01,0.01,0.01,3.6097576257572905,1.443180959697557,494
0.3,0.03,0.1,1.5739407741855869,1.408955324289711,506
0.1,0.1,0.3,2.9098137420153196,1.443180959697557,494
0.3,0.01,0.1,3.703134855797577,1.408955324289711,506
0.01,0.3,0.1,4.046879507193655,1.443180959697557,494
0.1,0.3,0.01,1.0915609416954293,1.408955324289711,506
0.03,0.1,0.03,3.9438305060987187,1.408955324289711,506
0.3,0.01,0.3,0.5995366576425916,1.443180959697557,494
0.1,0.01,0.1,1.7337910374454,1.408955324289711,506
0.1,0.1,0.3,4.9778025600278495,1.443180959697557,494
0.3,0.1,0.01,0.34093213971267405,1.408955324289711,506
0.01,0.01,0.03,2.442632605646862,1.443180959697557,494
0.3,0.01,0.03,3.921674859772851,1.443180959697557,494
0.1,0.01,0.03,2.769004468088111,1.408955324289711,506
0.1,0.3,0.03,0.7953718266133689,1.443180959697557,494
0.01,0.01,0.3,1.4419823986197715,1.443180959697557,494
0.3,0.1,0.01,1.008158557455047,1.443180959697557,494
0.1,0.3,0.1,2.0150498692537764,1.443180959697557,494
0.1,0.01,0.01,4.178943890997866,1.443180959697557,494
0.01,0.03,0.03,0.6133970372304944,1.443180959697557,494
0.1,0.03,0.1,2.2650289771215495,1.408955324289711,506
0.3,0.3,0.3,1.9586539574383854,1.443180959697557,494
0.01,0.1,0.01,2.5509907003570613,1.408955324289711,506
0.1,0.3,0.03,2.0918749643821735,1.443180959697557,494
0.3,0.3,0.03,2.7121549354424013,1.443180959697557,494
0.3,0.01,0.03,0.2542794991820915,1.443180959697557,494
0.01,0.3,0.3,1.8346701810182404,1.443180959697557,494
0.3,0.03,0.1,0.803745338630136,1.443180959697557,494
0.03,0.3,0.1,2.0274140326936387,1.408955324289711,506
0.1,0.3,0.3,1.24664648066947,1.408955324289711,506
0.03,0.3,0.3,1.6716448178898689,1.443180959697557,494
0.1,0.03,0.01,1.2532325240656679,1.408955324289711,506
0.03,0.1,0.01,0.7319099668686628,1.408955324289711,506
0.03,0.1,0.1,1.4970777370136865,1.443180959697557,494
0.03,0.03,0.01,3.7936430541588275,1.408955324289711,506
0.3,0.01,0.03,0.7090527973920997,1.408955324289711,506
0.1,0.1,0.3,1.4127339752313377,1.408955324289711,506
0.03,0.3,0.03,0.7825075934631918,1.443180959697557,494
0.03,0.03,0.01,0.0483923361587827,1.408955324289711,506
0.03,0.03,0.03,1.3742897924608113,1.408955324289711,506
0.1,0.1,0.1,1.1384021715782948,1.443180959697557,494
0.01,0.01,0.03,2.718587999084841,1.408955324289711,506
0.1,0.03,0.03,2.8890122465047448,1.408955324289711,506
0.1,0.01,0.03,1.3331126778458293,1.408955324289711,506
0.1,0.01,0.01,2.9894659005312447,1.443180959697557,494
0.01,0.3,0.1,0.8598438799014969,1.443180959697557,494
0.1,0.01,0.03,3.617787651790184,1.408955324289711,506
0.1,0.01,0.1,4.13244461497487,1.408955324289711,506
0.1,0.3,0.01,0.2713924744489598,1.408955324289711,506
0.03,0.01,0.1,0.7113409028527516,1.443180959697557,494
0.03,0.01,0.1,0.6078147529655921,1.443180959697557,494
0.01,0.03,0.03,1.2046596168912398,1.408955324289711,506
0.1,0.3,0.3,0.64891879572542,1.408955324289711,506
0.3,0.1,0.03,1.712834643334645,1.443180959697557,494
0.01,0.01,0.1,1.67308446216946,1.443180959697557,494
0.01,0.1,0.3,4.004816623523561,1.408955324289711,506
0.1,0.01,0.01,1.8491343557438011,1.443180959697557,494
0.01,0.3,0.01,1.7793934489553662,1.408955324289711,506
0.03,0.3,0.03,2.2560617064228907,1.443180959697557,494
0.3,0.3,0.3,1.8872891654914596,1.408955324289711,506
0.1,0.3,0.3,2.0425253436163597,1.443180959697557,494
0.03,0.01,0.03,4.553064137434661,1.443180959697557,494
0.01,0.3,0.1,2.1453480717110054,1.443180959697557,494
0.03,0.1,0.3,0.5682292667147582,1.443180959697557,494
0.03,0.3,0.01,0.5905507298369762,1.408955324289711,506
0.01,0.03,0.1,0.5938180541816008,1.443180959697557,494
0.3,0.03,0.01,3.7965822450219013,1.443180959697557,494
0.03,0.1,0.01,0.046785550529022835,1.443180959697557,494
0.1,0.01,0.03,0.5634843999068013,1.443180959697557,494
0.03,0.03,0.01,0.025973092295552114,1.408955324289711,506
0.3,0.3,0.1,3.618119103415806,1.408955324289711,506
0.01,0.3,0.03,0.5727090179108943,1.443180959697557,494
0.3,0.1,0.03,1.7252069412940942,1.408955324289711,506
0.03,0.03,0.01,1.2522837707069632,1.443180959697557,494
0.1,0.03,0.03,1.9158119740772916,1.408955324289711,506
0.01,0.01,0.3,2.6655366300965406,1.408955324289711,506
0.3,0.03,0.01,1.8670433143492913,1.408955324289711,506
0.1,0.03,0.1,0.9806359392800056,1.408955324289711,506
0.1,0.1,0.3,3.491666905928101,1.408955324289711,506
0.1,0.03,0.01,0.4991756272818171,1.443180959697557,494
0.3,0.01,0.1,0.5159678887908765,1.408955324289711,506
0.01,0.3,0.1,1.53582091944473,1.408955324289711,506
0.3,0.1,0.03,2.7288865344296123,1.443180959697557,494
0.01,0.3,0.3,0.5855058308017332,1.408955324289711,506
0.03,0.3,0.03,1.110270590656409,1.443180959697557,494
0.1,0.3,0.03,0.2717399441757777,1.408955324289711,506
0.03,0.3,0.03,2.2972566912011616,1.443180959697557,494
0.1,0.3,0.01,1.408035733897512,1.408955324289711,506
0.01,0.1,0.01,0.31023199177851246,1.408955324289711,506
0.1,0.03,0.01,1.0569366937801326,1.408955324289711,506
0.1,0.3,0.01,2.63369370970724,1.408955324289711,506
0.3,0.01,0.1,0.20032904459566722,1.443180959697557,494
0.1,0.3,0.01,1.0735830045283714,1.443180959697557,494
0.03,0.01,0.03,1.0010134740983843,1.443180959697557,494
0.3,0.01,0.01,1.3847625315916634,1.408955324289711,506
0.1,0.01,0.03,5.740492721592899,1.443180959697557,494
0.1,0.1,0.3,2.062687105256698,1.408955324289711,506
0.03,0.01,0.1,2.396283870701151,1.408955324289711,506
0.3,0.03,0.3,1.9081455499085016,1.408955324289711,506
0.1,0.01,0.03,0.5161107294120257,1.443180959697557,494
0.3,0.03,0.3,1.8199950841730566,1.408955324289711,506
0.03,0.1,0.01,2.7502434649772947,1.408955324289711,506
0.03,0.03,0.3,4.184116640486,1.443180959697557,494
0.1,0.3,0.03,1.6266589524329573,1.443180959697557,494
0.3,0.3,0.03,3.081349129697624,1.443180959697557,494
0.03,0.01,0.03,5.762347357969597,1.443180959697557,494
0.3,0.03,0.03,1.6342724158723203,1.443180959697557,494
0.3,0.03,0.3,0.7092244593925153,1.408955324289711,506
0.01,0.3,0.1,0.14255126254219785,1.408955324289711,506
0.03,0.3,0.1,1.2969986969276548,1.408955324289711,506
0.01,0.1,0.1,3.132859490083383,1.408955324289711,506
0.3,0.03,0.3,4.61925159912554,1.443180959697557,494
0.01,0.03,0.01,1.7364079855026298,1.408955324289711,506
0.03,0.01,0.3,2.5411956490568195,1.408955324289711,506
0.1,0.3,0.03,1.241088738413581,1.408955324289711,506
0.01,0.3,0.01,3.412925235042206,1.408955324289711,506
0.03,0.01,0.03,0.41085151120794267,1.408955324289711,506
0.01,0.01,0.1,0.4664588896774297,1.443180959697557,494
0.1,0.3,0.1,0.24844879595544017,1.443180959697557,494
0.3,0.03,0.3,0.4148922006610154,1.443180959697557,494
0.03,0.03,0.01,1.6765365571831221,1.408955324289711,506
0.01,0.1,0.1,0.7426491650916097,1.408955324289711,506
0.1,0.3,0.01,2.0115812580939916,1.443180959697557,494
0.03,0.03,0.3,1.3214418257125171,1.443180959697557,494
0.3,0.1,0.3,0.8881216742489617,1.408955324289711,506
0.1,0.03,0.1,1.7546092451190323,1.408955324289711,506
0.03,0.03,0.03,1.318385752866086,1.443180959697557,494
0.1,0.01,0.03,3.4237403258099,1.408955324289711,506
0.3,0.3,0.03,0.7631633255621681,1.408955324289711,506
0.01,0.3,0.1,2.9277367369889578,1.408955324289711,506
0.1,0.3,0.1,2.9761145077414755,1.443180959697557,494
0.03,0.1,0.1,1.6121337888865848,1.408955324289711,506
0.1,0.03,0.01,2.204475631421641,1.443180959697557,494
0.03,0.01,0.03,0.07745858630513335,1.408955324289711,506
0.03,0.1,0.03,0.5891059215517124,1.443180959697557,494
0.3,0.03,0.3,0.5357852614153824,1.443180959697557,494
0.1,0.03,0.1,0.7268104644538265,1.443180959697557,494
0.3,0.01,0.1,0.09471435360240273,1.443180959697557,494
0.1,0.01,0.03,3.907596478144979,1.408955324289711,506
0.03,0.03,0.03,2.2798973137735237,1.408955324289711,506
0.01,0.1,0.3,2.2943048070677343,1.443180959697557,494
0.1,0.1,0.01,0.057353621454950834,1.408955324289711,506
0.01,0.01,0.03,0.21389011356663504,1.408955324289711,506
0.1,0.01,0.1,2.899409158729889,1.408955324289711,506
0.1,0.03,0.03,0.6523225998728788,1.443180959697557,494
0.03,0.03,0.3,0.37376805846900446,1.443180959697557,494
0.03,0.3,0.03,0.6590360457689075,1.443180959697557,494
0.01,0.01,0.03,3.580258538799871,1.408955324289711,506
0.3,0.03,0.3,1.0416367519998597,1.408955324289711,506
0.01,0.1,0.03,0.8606988597581872,1.408955324289711,506
0.3,0.03,0.1,0.9396060465547907,1.443180959697557,494
0.03,0.03,0.03,3.634505499676747,1.443180959697557,494
0.01,0.1,0.1,1.544120931806501,1.443180959697557,494
0.03,0.03,0.1,5.904433319026366,1.408955324289711,506
0.03,0.1,0.3,1.399413678300989,1.443180959697557,494
0.1,0.01,0.1,1.9883635858177122,1.408955324289711,506
0.1,0.3,0.1,1.4879978405749765,1.408955324289711,506
0.1,0.3,0.3,0.061299086807130594,1.408955324289711,506
0.01,0.03,0.3,3.0618760921716928,1.443180959697557,494
0.3,0.01,0.3,1.762763218113037,1.443180959697557,494
0.3,0.01,0.3,1.903253262079234,1.408955324289711,506
0.1,0.03,0.1,0.4076531159872025,1.443180959697557,494
0.01,0.3,0.01,0.7434430472110141,1.443180959697557,494
0.01,0.03,0.1,2.2412033618424525,1.443180959697557,494
0.03,0.01,0.03,4.009138212952619,1.443180959697557,494
0.1,0.01,0.01,1.174227961850644,1.443180959697557,494
0.01,0.01,0.01,0.49215670070437023,1.443180959697557,494
0.1,0.1,0.3,1.1947801108711131,1.408955324289711,506
0.01,0.3,0.03,1.41258008762755,1.408955324289711,506
0.01,0.01,0.3,2.6257834607697235,1.408955324289711,506
0.3,0.1,0.1,1.5263042555858544,1.408955324289711,506
0.1,0.1,0.03,0.8042117281831561,1.408955324289711,506
0.03,0.03,0.3,2.6124025518323997,1.443180959697557,494
0.03,0.03,0.01,1.3979078561753,1.408955324289711,506
0.3,0.1,0.1,2.6623920252024917,1.443180959697557,494
0.3,0.1,0.01,2.3799779158286074,1.408955324289711,506
0.01,0.3,0.03,0.1173236609574064,1.443180959697557,494
0.1,0.03,0.03,2.972266978255507,1.408955324289711,506
0.3,0.03,0.1,2.420234629440044,1.408955324289711,506
0.01,0.03,0.3,4.925714437124613,1.443180959697557,494
0.01,0.03,0.03,2.813037828439914,1.408955324289711,506
0.1,0.1,0.3,1.5095383928485695,1.408955324289711,506
0.1,0.1,0.1,0.6239302630483379,1.408955324289711,506
0.1,0.01,0.1,0.3897796315982992,1.443180959697557,494
0.03,0.1,0.3,5.329148530045368,1.443180959697557,494
0.03,0.01,0.03,0.4767437179072414,1.443180959697557,494
0.1,0.1,0.01,2.322762474771753,1.443180959697557,494
0.01,0.03,0.1,0.7791658031168928,1.408955324289711,506
0.3,0.1,0.03,2.648676510731372,1.408955324289711,506
0.1,0.3,0.3,1.784317209695924,1.408955324289711,506
0.3,0.01,0.3,2.7916738652001007,1.443180959697557,494
0.1,0.03,0.01,1.4959185538131075,1.443180959697557,494
0.3,0.03,0.03,1.7069003175315254,1.408955324289711,506
